direction,entry_px,entry_time,exit_px,exit_time,option_symbol,pnl_pct,pnl_usd,regime,score,signal_time,sl_hint,squeeze,tf_15m,tf_1h,tf_5m,ticker,trend_bonus,uvol,vix,vix_mult
CALL,1.39,2026-06-30 11:29:18,1.29,2026-06-30 13:50:23,AAPL260701C00290000,-7.2,-10.0,bull,18.8,2026-06-30 11:29:12,25.0,True,5.0,2.0,5.0,AAPL,0.0,True,16.9,0.85
CALL,1.78,2026-06-30 15:58:49,0.28,2026-07-01 09:30:05,NVDA260701C00200000,-84.3,-150.0,bull,21.6,2026-06-30 15:58:40,25.0,True,8.0,4.0,9.0,NVDA,0.0,True,16.5,0.85
CALL,2.96,2026-07-01 09:30:18,1.8,2026-07-01 09:31:30,MSFT260701C00380000,-39.2,-116.0,bull,19.6,2026-07-01 09:30:11,40.0,True,6.0,5.0,6.0,MSFT,0.0,True,16.9,0.85
CALL,2.0,2026-07-01 11:18:04,1.24,2026-07-01 11:19:48,MSFT260701C00387500,-38.0,-76.0,bull,20.8,2026-07-01 11:17:57,28.0,True,6.0,6.0,5.0,MSFT,0.0,True,16.3,0.85
CALL,1.55,2026-07-01 11:28:50,1.16,2026-07-01 11:31:20,MSFT260701C00387500,-25.2,-39.0,bull,19.8,2026-07-01 11:28:44,25.0,True,4.0,6.0,4.0,MSFT,0.0,True,16.2,0.85
CALL,0.76,2026-07-01 11:36:48,0.53,2026-07-01 11:49:08,MSFT260701C00387500,-30.3,-23.0,bull,19.3,2026-07-01 11:36:38,25.0,True,3.0,5.0,5.0,MSFT,0.0,True,16.1,0.85
CALL,0.63,2026-07-06 12:15:19,0.48,2026-07-06 12:27:35,SPY260706C00751000,-23.8,-15.0,bull,14.3,2026-07-06 12:15:08,28.0,True,3.0,5.0,1.0,SPY,0.0,False,15.9,0.85
CALL,0.71,2026-07-06 14:17:26,1.0,2026-07-06 14:55:05,SPY260706C00751000,40.8,29.0,bull,14.8,2026-07-06 14:17:15,33.0,True,3.0,5.0,3.0,SPY,0.0,False,15.9,0.85
CALL,1.06,2026-07-06 15:02:46,1.09,2026-07-06 15:34:47,SPY260706C00751000,2.8,3.0,bull,14.8,2026-07-06 15:02:36,40.0,True,3.0,5.0,3.0,SPY,0.0,False,15.7,0.85
CALL,2.21,2026-07-08 12:42:40,3.1,2026-07-08 12:56:53,NVDA260708C00197500,40.3,89.0,bull,19.5,2026-07-08 12:42:30,40.0,True,5.0,5.0,3.0,NVDA,0.0,True,17.5,0.85
